,Sex,Survived,AgeGroup,PassengerClass,Count
0,male,Perished,20-40,Third,1
1,female,Survived,20-40,First,1
2,female,Survived,20-40,Third,1
3,female,Survived,20-40,First,1
4,male,Perished,20-40,Third,1
6,male,Perished,40-60,First,1
7,male,Perished,0-20,Third,1
8,female,Survived,20-40,Third,1
9,female,Survived,0-20,Second,1
10,female,Survived,0-20,Third,1
11,female,Survived,40-60,First,1
12,male,Perished,0-20,Third,1
13,male,Perished,20-40,Third,1
14,female,Perished,0-20,Third,1
15,female,Survived,40-60,Second,1
16,male,Perished,0-20,Third,1
18,female,Perished,20-40,Third,1
20,male,Perished,20-40,Second,1
21,male,Survived,20-40,Second,1
22,female,Survived,0-20,Third,1
23,male,Survived,20-40,First,1
24,female,Perished,0-20,Third,1
25,female,Survived,20-40,Third,1
27,male,Perished,0-20,First,1
30,male,Perished,20-40,First,1
33,male,Perished,60+,Second,1
34,male,Perished,20-40,First,1
35,male,Perished,40-60,First,1
37,male,Perished,20-40,Third,1
38,female,Perished,0-20,Third,1
39,female,Survived,0-20,Third,1
40,female,Perished,20-40,Third,1
41,female,Perished,20-40,Second,1
43,female,Survived,0-20,Second,1
44,female,Survived,0-20,Third,1
49,female,Perished,0-20,Third,1
50,male,Perished,0-20,Third,1
51,male,Perished,20-40,Third,1
52,female,Survived,40-60,First,1
53,female,Survived,20-40,Second,1
54,male,Perished,60+,First,1
56,female,Survived,20-40,Second,1
57,male,Perished,20-40,Third,1
58,female,Survived,0-20,Second,1
59,male,Perished,0-20,Third,1
60,male,Perished,20-40,Third,1
61,female,Survived,20-40,First,1
62,male,Perished,40-60,First,1
63,male,Perished,0-20,Third,1
66,female,Survived,20-40,Second,1
67,male,Perished,0-20,Third,1
68,female,Survived,0-20,Third,1
69,male,Perished,20-40,Third,1
70,male,Perished,20-40,Second,1
71,female,Perished,0-20,Third,1
72,male,Perished,20-40,Second,1
73,male,Perished,20-40,Third,1
74,male,Survived,20-40,Third,1
75,male,Perished,20-40,Third,1
78,male,Survived,0-20,Second,1
79,female,Survived,20-40,Third,1
80,male,Perished,20-40,Third,1
81,male,Survived,20-40,Third,1
83,male,Perished,20-40,First,1
84,female,Survived,0-20,Second,1
85,female,Survived,20-40,Third,1
86,male,Perished,0-20,Third,1
88,female,Survived,20-40,First,1
89,male,Perished,20-40,Third,1
90,male,Perished,20-40,Third,1
91,male,Perished,0-20,Third,1
92,male,Perished,40-60,First,1
93,male,Perished,20-40,Third,1
94,male,Perished,40-60,Third,1
96,male,Perished,60+,First,1
97,male,Survived,20-40,First,1
98,female,Survived,20-40,Second,1
99,male,Perished,20-40,Second,1
100,female,Perished,20-40,Third,1
102,male,Perished,20-40,First,1
103,male,Perished,20-40,Third,1
104,male,Perished,20-40,Third,1
105,male,Perished,20-40,Third,1
106,female,Survived,20-40,Third,1
108,male,Perished,20-40,Third,1
110,male,Perished,40-60,First,1
111,female,Perished,0-20,Third,1
112,male,Perished,20-40,Third,1
113,female,Perished,0-20,Third,1
114,female,Perished,0-20,Third,1
115,male,Perished,20-40,Third,1
116,male,Perished,60+,Third,1
117,male,Perished,20-40,Second,1
118,male,Perished,20-40,First,1
119,female,Perished,0-20,Third,1
120,male,Perished,20-40,Second,1
122,male,Perished,20-40,Second,1
123,female,Survived,20-40,Second,1
124,male,Perished,40-60,First,1
125,male,Survived,0-20,Third,1
127,male,Survived,20-40,Third,1
129,male,Perished,40-60,Third,1
130,male,Perished,20-40,Third,1
131,male,Perished,0-20,Third,1
132,female,Perished,40-60,Third,1
133,female,Survived,20-40,Second,1
134,male,Perished,20-40,Second,1
135,male,Perished,20-40,Second,1
136,female,Survived,0-20,First,1
137,male,Perished,20-40,First,1
138,male,Perished,0-20,Third,1
139,male,Perished,20-40,First,1
141,female,Survived,20-40,Third,1
142,female,Survived,20-40,Third,1
143,male,Perished,0-20,Third,1
144,male,Perished,0-20,Second,1
145,male,Perished,0-20,Second,1
146,male,Survived,20-40,Third,1
147,female,Perished,0-20,Third,1
148,male,Perished,20-40,Second,1
149,male,Perished,40-60,Second,1
150,male,Perished,40-60,Second,1
151,female,Survived,20-40,First,1
152,male,Perished,40-60,Third,1
153,male,Perished,40-60,Third,1
155,male,Perished,40-60,First,1
156,female,Survived,0-20,Third,1
157,male,Perished,20-40,Third,1
160,male,Perished,40-60,Third,1
161,female,Survived,20-40,Second,1
162,male,Perished,20-40,Third,1
163,male,Perished,0-20,Third,1
164,male,Perished,0-20,Third,1
165,male,Survived,0-20,Third,1
167,female,Perished,40-60,Third,1
169,male,Perished,20-40,Third,1
170,male,Perished,60+,First,1
171,male,Perished,0-20,Third,1
172,female,Survived,0-20,Third,1
173,male,Perished,20-40,Third,1
174,male,Perished,40-60,First,1
175,male,Perished,0-20,Third,1
177,female,Perished,40-60,First,1
178,male,Perished,20-40,Second,1
179,male,Perished,20-40,Third,1
182,male,Perished,0-20,Third,1
183,male,Survived,0-20,Second,1
184,female,Survived,0-20,Third,1
187,male,Survived,40-60,First,1
188,male,Perished,20-40,Third,1
189,male,Perished,20-40,Third,1
190,female,Survived,20-40,Second,1
191,male,Perished,0-20,Second,1
192,female,Survived,0-20,Third,1
193,male,Survived,0-20,Second,1
194,female,Survived,40-60,First,1
195,female,Survived,40-60,First,1
197,male,Perished,40-60,Third,1
199,female,Perished,20-40,Second,1
200,male,Perished,20-40,Third,1
202,male,Perished,20-40,Third,1
203,male,Perished,40-60,Third,1
204,male,Survived,0-20,Third,1
205,female,Perished,0-20,Third,1
206,male,Perished,20-40,Third,1
207,male,Survived,20-40,Third,1
208,female,Survived,0-20,Third,1
209,male,Survived,20-40,First,1
210,male,Perished,20-40,Third,1
211,female,Survived,20-40,Second,1
212,male,Perished,20-40,Third,1
213,male,Perished,20-40,Second,1
215,female,Survived,20-40,First,1
216,female,Survived,20-40,Third,1
217,male,Perished,40-60,Second,1
218,female,Survived,20-40,First,1
219,male,Perished,20-40,Second,1
220,male,Survived,0-20,Third,1
221,male,Perished,20-40,Second,1
222,male,Perished,40-60,Third,1
224,male,Survived,20-40,First,1
225,male,Perished,20-40,Third,1
226,male,Survived,0-20,Second,1
227,male,Perished,20-40,Third,1
228,male,Perished,0-20,Second,1
230,female,Survived,20-40,First,1
231,male,Perished,20-40,Third,1
232,male,Perished,40-60,Second,1
233,female,Survived,0-20,Third,1
234,male,Perished,20-40,Second,1
236,male,Perished,40-60,Second,1
237,female,Survived,0-20,Second,1
238,male,Perished,0-20,Second,1
239,male,Perished,20-40,Second,1
242,male,Perished,20-40,Second,1
243,male,Perished,20-40,Third,1
244,male,Perished,20-40,Third,1
245,male,Perished,40-60,First,1
246,female,Perished,20-40,Third,1
247,female,Survived,20-40,Second,1
248,male,Survived,20-40,First,1
249,male,Perished,40-60,Second,1
251,female,Perished,20-40,Third,1
252,male,Perished,60+,First,1
253,male,Perished,20-40,Third,1
254,female,Perished,40-60,Third,1
255,female,Survived,20-40,Third,1
257,female,Survived,20-40,First,1
258,female,Survived,20-40,First,1
259,female,Survived,40-60,Second,1
261,male,Survived,0-20,Third,1
262,male,Perished,40-60,First,1
263,male,Perished,20-40,First,1
265,male,Perished,20-40,Second,1
266,male,Perished,0-20,Third,1
267,male,Survived,20-40,Third,1
268,female,Survived,40-60,First,1
269,female,Survived,20-40,First,1
271,male,Survived,20-40,Third,1
272,female,Survived,40-60,Second,1
273,male,Perished,20-40,First,1
275,female,Survived,60+,First,1
276,female,Perished,40-60,Third,1
278,male,Perished,0-20,Third,1
279,female,Survived,20-40,Third,1
280,male,Perished,60+,Third,1
281,male,Perished,20-40,Third,1
282,male,Perished,0-20,Third,1
283,male,Survived,0-20,Third,1
285,male,Perished,20-40,Third,1
286,male,Survived,20-40,Third,1
287,male,Perished,20-40,Third,1
288,male,Survived,40-60,Second,1
289,female,Survived,20-40,Third,1
290,female,Survived,20-40,First,1
291,female,Survived,0-20,First,1
292,male,Perished,20-40,Second,1
293,female,Perished,20-40,Third,1
294,male,Perished,20-40,Third,1
296,male,Perished,20-40,Third,1
297,female,Perished,0-20,First,1
299,female,Survived,40-60,First,1
302,male,Perished,0-20,Third,1
305,male,Survived,0-20,First,1
307,female,Survived,0-20,First,1
308,male,Perished,20-40,Second,1
309,female,Survived,20-40,First,1
310,female,Survived,20-40,First,1
311,female,Survived,0-20,First,1
312,female,Perished,20-40,Second,1
313,male,Perished,20-40,Third,1
314,male,Perished,40-60,Second,1
315,female,Survived,20-40,Third,1
316,female,Survived,20-40,Second,1
317,male,Perished,40-60,Second,1
318,female,Survived,20-40,First,1
319,female,Survived,20-40,First,1
320,male,Perished,20-40,Third,1
321,male,Perished,20-40,Third,1
322,female,Survived,20-40,Second,1
323,female,Survived,20-40,Second,1
325,female,Survived,20-40,First,1
326,male,Perished,60+,Third,1
327,female,Survived,20-40,Second,1
328,female,Survived,20-40,Third,1
329,female,Survived,0-20,First,1
331,male,Perished,40-60,First,1
332,male,Perished,20-40,First,1
333,male,Perished,0-20,Third,1
336,male,Perished,20-40,First,1
337,female,Survived,40-60,First,1
338,male,Survived,40-60,Third,1
339,male,Perished,40-60,First,1
340,male,Survived,0-20,Second,1
341,female,Survived,20-40,First,1
342,male,Perished,20-40,Second,1
343,male,Perished,20-40,Second,1
344,male,Perished,20-40,Second,1
345,female,Survived,20-40,Second,1
346,female,Survived,20-40,Second,1
348,male,Survived,0-20,Third,1
349,male,Perished,40-60,Third,1
350,male,Perished,20-40,Third,1
352,male,Perished,0-20,Third,1
353,male,Perished,20-40,Third,1
355,male,Perished,20-40,Third,1
356,female,Survived,20-40,First,1
357,female,Perished,20-40,Second,1
360,male,Perished,20-40,Third,1
361,male,Perished,20-40,Second,1
362,female,Perished,40-60,Third,1
363,male,Perished,20-40,Third,1
365,male,Perished,20-40,Third,1
366,female,Survived,40-60,First,1
369,female,Survived,20-40,First,1
370,male,Survived,20-40,First,1
371,male,Perished,0-20,Third,1
372,male,Perished,0-20,Third,1
373,male,Perished,20-40,First,1
374,female,Perished,0-20,Third,1
376,female,Survived,20-40,Third,1
377,male,Perished,20-40,First,1
378,male,Perished,0-20,Third,1
379,male,Perished,0-20,Third,1
380,female,Survived,40-60,First,1
381,female,Survived,0-20,Third,1
382,male,Perished,20-40,Third,1
383,female,Survived,20-40,First,1
385,male,Perished,0-20,Second,1
386,male,Perished,0-20,Third,1
387,female,Survived,20-40,Second,1
389,female,Survived,0-20,Second,1
390,male,Survived,20-40,First,1
391,male,Survived,20-40,Third,1
392,male,Perished,20-40,Third,1
393,female,Survived,20-40,First,1
394,female,Survived,20-40,Third,1
395,male,Perished,20-40,Third,1
396,female,Perished,20-40,Third,1
397,male,Perished,40-60,Second,1
398,male,Perished,20-40,Second,1
399,female,Survived,20-40,Second,1
400,male,Survived,20-40,Third,1
401,male,Perished,20-40,Third,1
402,female,Perished,20-40,Third,1
403,male,Perished,20-40,Third,1
404,female,Perished,0-20,Third,1
405,male,Perished,20-40,Second,1
406,male,Perished,40-60,Third,1
407,male,Survived,0-20,Second,1
408,male,Perished,20-40,Third,1
412,female,Survived,20-40,First,1
414,male,Survived,40-60,Third,1
416,female,Survived,20-40,Second,1
417,female,Survived,0-20,Second,1
418,male,Perished,20-40,Second,1
419,female,Perished,0-20,Third,1
421,male,Perished,20-40,Third,1
422,male,Perished,20-40,Third,1
423,female,Perished,20-40,Third,1
424,male,Perished,0-20,Third,1
426,female,Survived,20-40,Second,1
427,female,Survived,0-20,Second,1
429,male,Survived,20-40,Third,1
430,male,Survived,20-40,First,1
432,female,Survived,40-60,Second,1
433,male,Perished,0-20,Third,1
434,male,Perished,40-60,First,1
435,female,Survived,0-20,First,1
436,female,Perished,20-40,Third,1
437,female,Survived,20-40,Second,1
438,male,Perished,60+,First,1
439,male,Perished,20-40,Second,1
440,female,Survived,40-60,Second,1
441,male,Perished,0-20,Third,1
442,male,Perished,20-40,Third,1
443,female,Survived,20-40,Second,1
445,male,Survived,0-20,First,1
446,female,Survived,0-20,Second,1
447,male,Survived,20-40,First,1
448,female,Survived,0-20,Third,1
449,male,Survived,40-60,First,1
450,male,Perished,20-40,Second,1
452,male,Perished,20-40,First,1
453,male,Survived,40-60,First,1
455,male,Survived,20-40,Third,1
456,male,Perished,60+,First,1
458,female,Survived,40-60,Second,1
460,male,Survived,40-60,First,1
461,male,Perished,20-40,Third,1
462,male,Perished,40-60,First,1
463,male,Perished,40-60,Second,1
465,male,Perished,20-40,Third,1
467,male,Perished,40-60,First,1
469,female,Survived,0-20,Third,1
471,male,Perished,20-40,Third,1
472,female,Survived,20-40,Second,1
473,female,Survived,20-40,Second,1
474,female,Perished,20-40,Third,1
476,male,Perished,20-40,Second,1
477,male,Perished,20-40,Third,1
478,male,Perished,20-40,Third,1
479,female,Survived,0-20,Third,1
480,male,Perished,0-20,Third,1
482,male,Perished,40-60,Third,1
483,female,Survived,60+,Third,1
484,male,Survived,20-40,First,1
486,female,Survived,20-40,First,1
487,male,Perished,40-60,First,1
488,male,Perished,20-40,Third,1
489,male,Survived,0-20,Third,1
491,male,Perished,20-40,Third,1
492,male,Perished,40-60,First,1
493,male,Perished,60+,First,1
494,male,Perished,20-40,Third,1
496,female,Survived,40-60,First,1
498,female,Perished,20-40,First,1
499,male,Perished,20-40,Third,1
500,male,Perished,0-20,Third,1
501,female,Perished,20-40,Third,1
503,female,Perished,20-40,Third,1
504,female,Survived,0-20,First,1
505,male,Perished,0-20,First,1
506,female,Survived,20-40,Second,1
508,male,Perished,20-40,Third,1
509,male,Survived,20-40,Third,1
510,male,Survived,20-40,Third,1
512,male,Survived,20-40,First,1
513,female,Survived,40-60,First,1
514,male,Perished,20-40,Third,1
515,male,Perished,40-60,First,1
516,female,Survived,20-40,Second,1
518,female,Survived,20-40,Second,1
519,male,Perished,20-40,Third,1
520,female,Survived,20-40,First,1
521,male,Perished,20-40,Third,1
523,female,Survived,40-60,First,1
525,male,Perished,40-60,Third,1
526,female,Survived,40-60,Second,1
528,male,Perished,20-40,Third,1
529,male,Perished,20-40,Second,1
530,female,Survived,0-20,Second,1
532,male,Perished,0-20,Third,1
534,female,Perished,20-40,Third,1
535,female,Survived,0-20,Second,1
536,male,Perished,40-60,First,1
537,female,Survived,20-40,First,1
539,female,Survived,20-40,First,1
540,female,Survived,20-40,First,1
541,female,Perished,0-20,Third,1
542,female,Perished,0-20,Third,1
543,male,Survived,20-40,Second,1
544,male,Perished,40-60,First,1
545,male,Perished,60+,First,1
546,female,Survived,0-20,Second,1
548,male,Perished,20-40,Third,1
549,male,Survived,0-20,Second,1
550,male,Survived,0-20,First,1
551,male,Perished,20-40,Second,1
553,male,Survived,20-40,Third,1
554,female,Survived,20-40,Third,1
555,male,Perished,60+,First,1
556,female,Survived,40-60,First,1
558,female,Survived,20-40,First,1
559,female,Survived,20-40,Third,1
561,male,Perished,20-40,Third,1
562,male,Perished,20-40,Second,1
565,male,Perished,20-40,Third,1
566,male,Perished,0-20,Third,1
567,female,Perished,20-40,Third,1
569,male,Survived,20-40,Third,1
570,male,Survived,60+,Second,1
571,female,Survived,40-60,First,1
572,male,Survived,20-40,First,1
574,male,Perished,0-20,Third,1
575,male,Perished,0-20,Third,1
576,female,Survived,20-40,Second,1
577,female,Survived,20-40,First,1
579,male,Survived,20-40,Third,1
580,female,Survived,20-40,Second,1
581,female,Survived,20-40,First,1
582,male,Perished,40-60,Second,1
583,male,Perished,20-40,First,1
585,female,Survived,0-20,First,1
586,male,Perished,40-60,Second,1
587,male,Survived,40-60,First,1
588,male,Perished,20-40,Third,1
590,male,Perished,20-40,Third,1
591,female,Survived,40-60,First,1
592,male,Perished,40-60,Third,1
594,male,Perished,20-40,Second,1
595,male,Perished,20-40,Third,1
597,male,Perished,40-60,Third,1
599,male,Survived,40-60,First,1
600,female,Survived,20-40,Second,1
603,male,Perished,40-60,Third,1
604,male,Survived,20-40,First,1
605,male,Perished,20-40,Third,1
606,male,Perished,20-40,Third,1
607,male,Survived,20-40,First,1
608,female,Survived,20-40,Second,1
609,female,Survived,20-40,First,1
610,female,Perished,20-40,Third,1
614,male,Perished,20-40,Third,1
615,female,Survived,20-40,Second,1
616,male,Perished,20-40,Third,1
617,female,Perished,20-40,Third,1
618,female,Survived,0-20,Second,1
619,male,Perished,20-40,Second,1
620,male,Perished,20-40,Third,1
621,male,Survived,40-60,First,1
622,male,Survived,0-20,Third,1
623,male,Perished,20-40,Third,1
624,male,Perished,20-40,Third,1
625,male,Perished,60+,First,1
626,male,Perished,40-60,Second,1
627,female,Survived,20-40,First,1
628,male,Perished,20-40,Third,1
630,male,Survived,60+,First,1
631,male,Perished,40-60,Third,1
632,male,Survived,20-40,First,1
634,female,Perished,0-20,Third,1
635,female,Survived,20-40,Second,1
